Client_ID,Monthly_Spend,Support_Tickets,Contract_Length,Service_Usage,Customer_Satisfaction,Renewal_History,Client_Status
2001,960,12,4,76,78,0,At_Risk
2002,3872,19,25,96,70,2,At_Risk
2003,3192,14,3,21,57,0,Churned
2004,566,2,32,29,75,3,At_Risk
2005,4526,7,3,14,41,1,Churned
2006,3544,19,27,46,53,4,Churned
2007,3271,15,29,47,52,1,Churned
2008,3019,12,32,18,68,3,At_Risk
2009,230,17,19,62,51,1,Churned
2010,1785,9,21,53,78,1,At_Risk
2011,869,18,5,95,41,3,Churned
2012,2491,16,18,33,71,1,At_Risk
2013,2533,18,28,90,52,2,Churned
2014,1284,4,22,83,85,2,Retained
2015,4655,8,21,39,66,1,At_Risk
2016,3485,11,6,68,88,4,Retained
2017,4217,0,1,96,80,3,Retained
2018,4943,0,5,90,56,2,Churned
2019,3004,14,12,90,79,4,At_Risk
2020,574,1,26,23,70,1,At_Risk
2021,1182,15,34,18,73,4,At_Risk
2022,2658,7,14,49,99,0,Retained
2023,2147,12,26,75,63,2,At_Risk
2024,2847,0,27,34,84,1,Retained
2025,1075,15,9,82,74,3,At_Risk
2026,1906,6,26,31,87,1,Retained
2027,289,4,22,13,45,3,Churned
2028,2834,2,30,35,58,1,Churned
2029,3105,11,17,67,69,4,At_Risk
2030,4758,15,26,38,46,4,Churned
2031,1999,18,1,96,49,4,Churned
2032,1367,4,8,46,80,0,Retained
2033,1628,13,35,84,71,3,At_Risk
2034,3302,4,15,79,73,4,At_Risk
2035,3656,14,22,27,67,0,At_Risk
2036,3990,16,14,94,99,3,Retained
2037,746,13,26,51,54,1,Churned
2038,2988,19,28,50,69,0,At_Risk
2039,2535,4,23,47,76,2,At_Risk
2040,700,11,14,43,68,0,At_Risk
2041,2463,15,24,26,61,0,At_Risk
2042,2161,15,2,46,43,3,Churned
2043,341,6,26,34,59,1,Churned
2044,2141,3,14,85,71,2,At_Risk
2045,2924,0,7,96,75,4,At_Risk
2046,2712,4,3,95,89,4,Retained
2047,1463,9,23,94,43,0,Churned
2048,1578,4,18,36,66,3,At_Risk
2049,2656,3,35,66,56,3,Churned
2050,875,1,15,40,51,4,Churned
2051,4114,19,25,15,61,2,At_Risk
2052,134,9,28,49,56,1,Churned
2053,3252,18,10,21,49,2,Churned
2054,2055,0,17,62,93,1,Retained
2055,1685,4,22,80,40,4,Churned
2056,4043,12,26,19,61,1,At_Risk
2057,3173,3,25,54,65,3,At_Risk
2058,1121,15,17,26,95,0,Retained
2059,3561,15,13,35,98,0,Retained
2060,2713,1,20,94,57,4,Churned
2061,3943,16,25,71,89,3,Retained
2062,1600,19,4,55,53,2,Churned
2063,4898,11,10,73,86,3,Retained
2064,261,17,3,11,68,0,At_Risk
2065,4397,2,18,63,51,0,Churned
2066,2081,0,22,74,75,3,At_Risk
2067,1095,0,34,60,98,3,Retained
2068,3442,18,8,62,74,0,At_Risk
2069,4651,10,19,45,91,2,Retained
2070,3898,4,6,35,51,4,Churned
2071,1375,11,26,38,46,4,Churned
2072,1116,2,34,30,68,3,At_Risk
2073,437,0,6,20,50,4,Churned
2074,978,0,33,49,72,0,At_Risk
2075,1176,7,22,20,45,0,Churned
2076,4987,9,21,45,86,3,Retained
2077,4093,10,6,68,54,3,Churned
2078,4959,11,6,48,71,3,At_Risk
2079,479,12,4,63,90,2,Retained
2080,592,11,30,64,50,4,Churned
2081,2162,13,11,33,97,3,Retained
2082,3984,1,30,31,62,1,At_Risk
2083,164,18,31,78,65,1,At_Risk
2084,2668,17,24,65,73,0,At_Risk
2085,2127,2,9,42,85,4,Retained
2086,2795,16,3,45,73,3,At_Risk
2087,1595,7,31,29,68,1,At_Risk
2088,491,9,24,92,43,4,Churned
2089,4614,1,31,90,56,0,Churned
2090,4574,18,6,71,74,2,At_Risk
2091,3661,8,2,82,52,4,Churned
2092,2378,6,20,35,80,4,Retained
2093,3199,3,28,75,78,2,At_Risk
2094,300,17,11,82,54,4,Churned
2095,4975,12,4,82,94,0,Retained
2096,3204,10,15,49,68,0,At_Risk
2097,4698,3,6,26,68,2,At_Risk
2098,2554,3,30,10,50,3,Churned
2099,3745,9,2,98,91,1,Retained
2100,904,4,15,70,71,3,At_Risk
2101,2831,8,11,52,41,4,Churned
2102,2873,2,8,51,86,1,Retained
2103,1670,16,26,34,53,2,Churned
2104,2790,2,5,48,59,2,Churned
2105,3940,15,6,44,61,1,At_Risk
2106,1128,3,26,12,50,0,Churned
2107,602,17,4,53,66,1,At_Risk
2108,4593,16,19,60,42,4,Churned
2109,970,6,20,21,56,0,Churned
2110,4588,4,33,28,83,2,Retained
2111,306,11,20,53,95,1,Retained
2112,1584,16,12,68,67,3,At_Risk
2113,963,12,1,58,68,3,At_Risk
2114,2890,2,26,70,60,4,At_Risk
2115,663,8,14,26,86,3,Retained
2116,4291,16,11,83,55,1,Churned
2117,1857,16,13,66,76,1,At_Risk
2118,1778,19,3,64,98,3,Retained
2119,3342,15,33,56,59,1,Churned
2120,4736,12,6,21,45,4,Churned
2121,1159,18,10,71,58,0,Churned
2122,1822,16,5,89,96,4,Retained
2123,3414,3,23,97,44,4,Churned
2124,3257,11,10,92,42,1,Churned
2125,2725,8,2,17,98,0,Retained
2126,2829,18,13,30,40,1,Churned
2127,1697,11,2,90,97,2,Retained
2128,3160,8,20,96,99,1,Retained
2129,2793,6,1,89,77,1,At_Risk
2130,4991,13,9,79,54,1,Churned
2131,3727,19,17,81,73,0,At_Risk
2132,1463,18,9,34,74,1,At_Risk
2133,2081,14,11,91,88,0,Retained
2134,1763,15,15,98,64,3,At_Risk
2135,1629,4,24,21,63,2,At_Risk
2136,2138,2,35,24,51,0,Churned
2137,3402,11,30,68,57,3,Churned
2138,2337,19,31,35,54,0,Churned
2139,1406,3,5,35,83,0,Retained
2140,4129,15,14,56,55,2,Churned
2141,2775,6,11,41,66,4,At_Risk
2142,1382,12,9,19,47,4,Churned
2143,809,9,34,25,99,0,Retained
2144,4844,6,12,80,85,1,Retained
2145,4513,13,35,26,64,3,At_Risk
2146,3848,4,35,32,56,1,Churned
2147,4879,2,1,35,68,1,At_Risk
2148,763,10,22,94,92,0,Retained
2149,2098,10,29,95,47,0,Churned
2150,3545,17,8,16,54,0,Churned
2151,3843,14,11,23,66,0,At_Risk
2152,1595,11,14,88,85,4,Retained
2153,3404,8,30,16,89,0,Retained
2154,3863,9,35,18,91,4,Retained
2155,1953,11,21,57,46,4,Churned
2156,4759,16,5,81,42,0,Churned
2157,1391,5,19,68,68,2,At_Risk
2158,3681,6,14,96,83,3,Retained
2159,3557,13,26,91,92,1,Retained
2160,1736,12,4,48,63,4,At_Risk
